CODIGO,TERRITORIO#es,OBS_VALUE
35004,Arrecife,2.6
35010,Haría,2.0
35018,San Bartolomé,1.9
35024,Teguise,1.6
35028,Tías,1.7
35029,Tinajo,1.8
35034,Yaiza,1.8
35003,Antigua,2.4
35007,Betancuria,1.9
35014,La Oliva,2.7
35015,Pájara,2.5
35017,Puerto del Rosario,2.4
35030,Tuineje,2.6
35001,Agaete,2.7
35002,Agüimes,2.6
35005,Artenara,2.2
35006,Arucas,2.3
35008,Firgas,2.5
35009,Gáldar,2.7
35011,Ingenio,2.9
35012,Mogán,2.6
35013,Moya,2.6
35016,Las Palmas de Gran Canaria,1.9
35019,San Bartolomé de Tirajana,2.3
35020,La Aldea de San Nicolás,4.5
35021,Santa Brígida,1.3
35022,Santa Lucía de Tirajana,3.2
35023,Santa María de Guía de Gran Canaria,2.5
35025,Tejeda,2.3
35026,Telde,2.8
35027,Teror,2.4
35031,Valsequillo de Gran Canaria,2.7
35032,Valleseco,2.3
35033,Vega de San Mateo,2.2
38001,Adeje,2.2
38004,Arafo,2.5
38005,Arico,3.2
38006,Arona,2.7
38010,Buenavista del Norte,3.4
38011,Candelaria,1.8
38012,Fasnia,2.8
38015,Garachico,2.9
38017,Granadilla de Abona,2.9
38018,La Guancha,2.7
38019,Guía de Isora,2.8
38020,Güímar,2.7
38022,Icod de los Vinos,3.2
38023,San Cristóbal de La Laguna,2.2
38025,La Matanza de Acentejo,3.0
38026,La Orotava,2.4
38028,Puerto de la Cruz,2.0
38031,Los Realejos,3.0
38032,El Rosario,1.5
38034,San Juan de la Rambla,3.0
38035,San Miguel de Abona,2.4
38038,Santa Cruz de Tenerife,1.9
38039,Santa Úrsula,2.5
38040,Santiago del Teide,2.3
38041,El Sauzal,2.0
38042,Los Silos,3.0
38043,Tacoronte,2.1
38044,El Tanque,4.1
38046,Tegueste,1.8
38051,La Victoria de Acentejo,3.2
38052,Vilaflor de Chasna,2.8
38002,Agulo,2.6
38003,Alajeró,1.9
38021,Hermigua,2.8
38036,San Sebastián de La Gomera,1.9
38049,Valle Gran Rey,2.4
38050,Vallehermoso,3.0
38007,Barlovento,2.5
38008,Breña Alta,2.2
38009,Breña Baja,2.0
38014,Fuencaliente de La Palma,3.0
38016,Garafía,3.8
38024,Los Llanos de Aridane,4.0
38027,El Paso,3.5
38029,Puntagorda,3.4
38030,Puntallana,2.2
38033,San Andrés y Sauces,2.0
38037,Santa Cruz de La Palma,2.2
38045,Tazacorte,5.4
38047,Tijarafe,2.8
38053,Villa de Mazo,2.6
38048,Valverde,2.1
38901,El Pinar de El Hierro,2.7
