TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es
Canarias,ES70,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,62.2,,
Canarias,ES70,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,62.7,,
Canarias,ES70,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,62.7,,
Canarias,ES70,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,62.7,,
Canarias,ES70,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,62.5,,
Canarias,ES70,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.6,,
Canarias,ES70,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.3,,
Canarias,ES70,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,61.2,,
Canarias,ES70,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.4,,
Canarias,ES70,2015,2015,Otros ingresos,OTROS_INGRESOS,12.3,,
Canarias,ES70,2016,2016,Otros ingresos,OTROS_INGRESOS,12.5,,
Canarias,ES70,2017,2017,Otros ingresos,OTROS_INGRESOS,12.9,,
Canarias,ES70,2018,2018,Otros ingresos,OTROS_INGRESOS,13.3,,
Canarias,ES70,2019,2019,Otros ingresos,OTROS_INGRESOS,13.3,,
Canarias,ES70,2020,2020,Otros ingresos,OTROS_INGRESOS,11.4,,
Canarias,ES70,2021,2021,Otros ingresos,OTROS_INGRESOS,12.9,,
Canarias,ES70,2022,2022,Otros ingresos,OTROS_INGRESOS,13.7,,
Canarias,ES70,2023,2023,Otros ingresos,OTROS_INGRESOS,14,,
Canarias,ES70,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,3.3,,
Canarias,ES70,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.3,,
Canarias,ES70,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,
Canarias,ES70,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,
Canarias,ES70,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,3.7,,
Canarias,ES70,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,4.3,,
Canarias,ES70,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,4.6,,
Canarias,ES70,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.5,,
Canarias,ES70,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,4.5,,
Canarias,ES70,2015,2015,Pensiones,PENSIONES,18.5,,
Canarias,ES70,2016,2016,Pensiones,PENSIONES,18.2,,
Canarias,ES70,2017,2017,Pensiones,PENSIONES,17.8,,
Canarias,ES70,2018,2018,Pensiones,PENSIONES,17.5,,
Canarias,ES70,2019,2019,Pensiones,PENSIONES,17.6,,
Canarias,ES70,2020,2020,Pensiones,PENSIONES,19,,
Canarias,ES70,2021,2021,Pensiones,PENSIONES,18.4,,
Canarias,ES70,2022,2022,Pensiones,PENSIONES,18.1,,
Canarias,ES70,2023,2023,Pensiones,PENSIONES,17.8,,
Canarias,ES70,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,,
Canarias,ES70,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.4,,
Canarias,ES70,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,
Canarias,ES70,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,
Canarias,ES70,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,
Canarias,ES70,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,8.7,,
